x  y  z  p
0.115321 0.0246402 0.000254 10746
0.114323 0.024446 0.000254 10075.5
0.113326 0.0242517 0.000254 10424.4
0.112329 0.0240574 0.000254 10665.2
0.111332 0.0238632 0.000254 10903.5
0.110335 0.0236689 0.000254 11124.2
0.109337 0.0234747 0.000254 11396.8
0.108341 0.0232804 0.000254 11603.1
0.107343 0.0230861 0.000254 11928
0.106346 0.0228919 0.000254 12295.4
0.105349 0.0226976 0.000254 12608.7
0.104352 0.0225033 0.000254 12919.2
0.103355 0.0223091 0.000254 13225.7
0.102357 0.0221148 0.000254 13542.8
0.10136 0.0219206 0.000254 13888.7
0.100363 0.0217263 0.000254 14238.1
0.0993657 0.021532 0.000254 14648
0.0983685 0.0213378 0.000254 15047.6
0.0973713 0.0211435 0.000254 15494.3
0.0963741 0.0209492 0.000254 15864.9
0.095377 0.020755 0.000254 16294.1
0.0943799 0.0205607 0.000254 16820.8
0.0933827 0.0203665 0.000254 17356.1
0.0923855 0.0201722 0.000254 17718.3
0.0913883 0.0199779 0.000254 18128.2
0.0903911 0.0197837 0.000254 18690.2
0.0893939 0.0195894 0.000254 19200.6
0.0883967 0.0193951 0.000254 19862
0.0873995 0.0192009 0.000254 20468.4
0.0864023 0.0190066 0.000254 21019.8
0.0854051 0.0188123 0.000254 21447.4
0.0844079 0.0186181 0.000254 22013.4
0.0834107 0.0184238 0.000254 22712.6
0.0824135 0.0182296 0.000254 23312.2
0.0814165 0.0180353 0.000254 23956
0.0804193 0.017841 0.000254 24424.7
0.0794221 0.0176468 0.000254 25111.4
0.0784249 0.0174525 0.000254 25647.3
0.0774277 0.0172582 0.000254 26199.7
0.0764305 0.017064 0.000254 26804.1
0.0754333 0.0168697 0.000254 27384.5
0.0744361 0.0166755 0.000254 27888.8
0.0734389 0.0164812 0.000254 28275.2
0.0724417 0.0162869 0.000254 28716.3
0.0714445 0.0160927 0.000254 29016.2
0.0704473 0.0158984 0.000254 29195.1
0.0694501 0.0157041 0.000254 29408.3
0.068453 0.0155099 0.000254 29556.7
0.0674559 0.0153156 0.000254 29623.5
0.0664587 0.0151214 0.000254 29489.2
0.0654615 0.0149271 0.000254 29241.8
0.0644643 0.0147328 0.000254 28719.8
0.0634671 0.0145386 0.000254 27801.9
0.0624699 0.0143443 0.000254 26978.8
0.0619713 0.0142472 0.000254 26887.5
0.114822 0.0245431 0.000254 9883.21
0.113825 0.0243488 0.000254 10254.1
0.112828 0.0241546 0.000254 10554.7
0.11183 0.0239603 0.000254 10775.3
0.110833 0.023766 0.000254 11000.4
0.109836 0.0235718 0.000254 11265.7
0.108839 0.0233775 0.000254 11491.8
0.107842 0.0231833 0.000254 11776.2
0.106845 0.022989 0.000254 12096.6
0.105848 0.0227947 0.000254 12436.7
0.10485 0.0226005 0.000254 12763.6
0.103853 0.0224062 0.000254 13080.4
0.102856 0.0222119 0.000254 13346.9
0.101859 0.0220177 0.000254 13743.4
0.100861 0.0218234 0.000254 14025.5
0.0998643 0.0216292 0.000254 14456
0.0988671 0.0214349 0.000254 14830.2
0.0978699 0.0212406 0.000254 15285.2
0.0968727 0.0210464 0.000254 15664.6
0.0958755 0.0208521 0.000254 16065.8
0.0948785 0.0206578 0.000254 16578.4
0.0938813 0.0204636 0.000254 17069
0.0928841 0.0202693 0.000254 17544.1
0.0918869 0.0200751 0.000254 17912
0.0908897 0.0198808 0.000254 18431.7
0.0898925 0.0196865 0.000254 18922.2
0.0888953 0.0194923 0.000254 19525.8
0.0878981 0.019298 0.000254 20178.4
0.0869009 0.0191037 0.000254 20751.1
0.0859037 0.0189095 0.000254 21126.8
0.0849065 0.0187152 0.000254 21704.1
0.0839093 0.0185209 0.000254 22385.9
0.0829121 0.0183267 0.000254 23030.1
0.081915 0.0181324 0.000254 23696.2
0.0809179 0.0179382 0.000254 24168.7
0.0799207 0.0177439 0.000254 24736.2
0.0789235 0.0175496 0.000254 25407.2
0.0779263 0.0173554 0.000254 25939.8
0.0769291 0.0171611 0.000254 26490.6
0.0759319 0.0169668 0.000254 27116.4
0.0749347 0.0167726 0.000254 27647.6
0.0739375 0.0165783 0.000254 28095.3
0.0729403 0.0163841 0.000254 28488.4
0.0719431 0.0161898 0.000254 28863.8
0.0709459 0.0159955 0.000254 29172.8
0.0699487 0.0158013 0.000254 29252.5
0.0689515 0.015607 0.000254 29543.9
0.0679545 0.0154127 0.000254 29537.1
0.0669573 0.0152185 0.000254 29569.4
0.0659601 0.0150242 0.000254 29334.7
0.0649629 0.01483 0.000254 28958.7
0.0639657 0.0146357 0.000254 28289.6
0.0629685 0.0144414 0.000254 27315.7
0.0614934 0.0141605 0.000254 27810.5
0.0610362 0.0140843 0.000254 26850.6
0.0605591 0.0140001 0.000254 25933.7
0.0600606 0.0139165 0.000254 28567.8
0.0590565 0.0137998 0.000254 32421.4
0.0580469 0.0137499 0.000254 37309.4
0.0570362 0.0137656 0.000254 41955.7
0.0560286 0.0138457 0.000254 46257.3
0.0550281 0.0139895 0.000254 50888.1
0.0540388 0.0141967 0.000254 55575.4
0.0530647 0.0144665 0.000254 60078.1
0.0521096 0.0147977 0.000254 65072.4
0.0511776 0.015189 0.000254 70406.3
0.0507215 0.0154068 0.000254 73615.7
0.0595596 0.0138497 0.000254 30388.5
0.0585521 0.0137666 0.000254 34767
0.0575414 0.0137496 0.000254 39821.6
0.0565318 0.0137977 0.000254 44023.2
0.0555272 0.0139096 0.000254 48606.2
0.0545318 0.0140852 0.000254 53131
0.0535495 0.0143238 0.000254 57846.4
0.0525845 0.0146245 0.000254 62632.8
0.0516405 0.0149859 0.000254 67732.5
0.0498263 0.0158642 0.000254 78683.3
0.0489344 0.0163239 0.000254 81512.9
0.0480424 0.0167836 0.000254 83561.5
0.0471505 0.0172433 0.000254 85184
0.0462586 0.017703 0.000254 86567.6
0.0453667 0.0181627 0.000254 87706.4
0.0444748 0.0186224 0.000254 88736.1
0.0435828 0.0190821 0.000254 89614.3
0.0426909 0.0195418 0.000254 90477.9
0.041799 0.0200015 0.000254 91228
0.0409072 0.0204612 0.000254 91893
0.0400152 0.0209208 0.000254 92570.8
0.0391234 0.0213806 0.000254 93183.7
0.0382313 0.0218403 0.000254 93769.8
0.0373395 0.0222999 0.000254 94359.7
0.0364475 0.0227597 0.000254 94932.4
0.0355557 0.0232193 0.000254 95496.3
0.0346636 0.023679 0.000254 96022.7
0.0337718 0.0241388 0.000254 96581.4
0.0328798 0.0245984 0.000254 97108.1
0.031988 0.0250581 0.000254 97648.8
0.0310961 0.0255177 0.000254 98157.4
0.0302042 0.0259775 0.000254 98654
0.0293122 0.0264372 0.000254 99144.1
0.0284203 0.0268969 0.000254 99603.5
0.0275284 0.0273567 0.000254 100054
0.0266365 0.0278164 0.000254 100500
0.0257446 0.0282759 0.000254 100944
0.0248527 0.0287357 0.000254 101306
0.0235148 0.0294253 0.000254 101838
0.0502722 0.0156343 0.000254 76546.8
0.0493804 0.016094 0.000254 80244.8
0.0484883 0.0165537 0.000254 82609
0.0475966 0.0170134 0.000254 84412
0.0467045 0.0174731 0.000254 85907.6
0.0458127 0.0179328 0.000254 87177.1
0.0449207 0.0183925 0.000254 88232.6
0.0440289 0.0188522 0.000254 89222.6
0.0431368 0.0193119 0.000254 90077.9
0.042245 0.0197716 0.000254 90855.7
0.0413531 0.0202313 0.000254 91556.3
0.0404612 0.020691 0.000254 92233.2
0.0395693 0.0211507 0.000254 92889.3
0.0386773 0.0216104 0.000254 93505.6
0.0377854 0.0220701 0.000254 94074.4
0.0368935 0.0225298 0.000254 94641.6
0.0360016 0.0229895 0.000254 95209.2
0.0351097 0.0234492 0.000254 95778.9
0.0342177 0.0239089 0.000254 96322.1
0.0333258 0.0243686 0.000254 96855
0.0324339 0.0248283 0.000254 97380.5
0.031542 0.0252879 0.000254 97891.9
0.0306502 0.0257476 0.000254 98399.3
0.0297581 0.0262073 0.000254 98902.1
0.0288663 0.0266671 0.000254 99378.5
0.0279743 0.0271268 0.000254 99838.5
0.0270825 0.0275866 0.000254 100275
0.0261904 0.0280462 0.000254 100700
0.0252987 0.0285058 0.000254 101141
0.0244067 0.0289655 0.000254 101528
0.0239607 0.0291954 0.000254 101698
0.0226216 0.0298908 0.000254 102306
0.0217191 0.0303413 0.000254 102644
0.0208066 0.030771 0.000254 102818
0.0198846 0.0311799 0.000254 102973
0.0189538 0.0315684 0.000254 103031
0.0180147 0.0319362 0.000254 103084
0.0170678 0.0322837 0.000254 103087
0.0161138 0.0326111 0.000254 103037
0.0151531 0.0329184 0.000254 102959
0.0141864 0.0332061 0.000254 102822
0.0132141 0.0334743 0.000254 102689
0.0122368 0.0337235 0.000254 102529
0.0112547 0.0339536 0.000254 102359
0.0102685 0.0341649 0.000254 102156
0.00927834 0.0343569 0.000254 101952
0.00828464 0.0345296 0.000254 101738
0.00728776 0.0346831 0.000254 101492
0.00628805 0.0348168 0.000254 101267
0.00528591 0.034931 0.000254 101035
0.0042817 0.0350253 0.000254 100775
0.00327584 0.0350996 0.000254 100538
0.00226869 0.0351541 0.000254 100311
0.00126067 0.0351887 0.000254 100059
0.0230688 0.0296579 0.000254 102125
0.0221716 0.0301187 0.000254 102469
0.021264 0.0305587 0.000254 102733
0.0203467 0.030978 0.000254 102908
0.0194203 0.0313767 0.000254 103024
0.0184852 0.0317548 0.000254 103070
0.0175422 0.0321125 0.000254 103094
0.0165916 0.0324499 0.000254 103047
0.0156342 0.0327671 0.000254 102999
0.0146705 0.0330647 0.000254 102900
0.0137009 0.0333426 0.000254 102768
0.012726 0.0336013 0.000254 102615
0.0117463 0.0338408 0.000254 102435
0.0107621 0.0340617 0.000254 102253
0.00977388 0.0342633 0.000254 102055
0.00878191 0.0344457 0.000254 101846
0.00778657 0.0346088 0.000254 101622
0.00678823 0.0347524 0.000254 101378
0.00578726 0.0348764 0.000254 101149
0.00478404 0.0349806 0.000254 100908
0.00377895 0.035065 0.000254 100660
0.0027724 0.0351293 0.000254 100433
0.00176476 0.0351739 0.000254 100180
0.000756449 0.0351984 0.000254 99973.5
0.000252157 0.0352033 0.000254 99850.8
